STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2019,,14.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2020,,16.1,,b,break in time series,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2021,,16.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2022,,14.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2023,,14.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DE,Germany,2024,,15.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2013,,11.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2014,,12.1,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2015,,12.2,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2016,,11.9,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2017,,12.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2018,,12.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2019,,12.5,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2020,,12.1,,b,break in time series,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2021,,12.3,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2022,,12.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2023,,11.8,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,DK,Denmark,2024,,11.6,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2013,,16.7,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2014,,17.2,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2015,,17.2,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2016,,17.4,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2017,,17.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2018,,17.0,,,,,
dataflow,ESTAT:TESPM010(1.0),At-risk-of-poverty rate,A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),T,Total,TOTAL,Total,EA19,Euro area - 19 countries  (2015-2022),2019,,16.4,,,,,
