STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,spdeps,Main expenditure type,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2020,,38.89,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2021,,45.42,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2022,,53.89,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,BG,Bulgaria,2023,,54.44,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2014,,961.87,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2015,,1147.47,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2016,,1149.82,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2017,,1138.51,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2018,,1131.79,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2019,,1173.33,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2020,,1281.7,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2021,,1406.89,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2022,,1764.53,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CH,Switzerland,2023,,1698.53,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2014,,43.43,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2015,,49.89,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2016,,54.95,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2017,,54.75,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2018,,52.64,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2019,,56.5,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2020,,57.29,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2021,,55.38,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2022,,57.11,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CY,Cyprus,2023,,61.03,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2014,,85.05,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2015,,86.73,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2016,,91.19,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2017,,98.9,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2018,,108.12,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2019,,115.88,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2020,,123.59,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2021,,144.67,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2022,,154.61,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,CZ,Czechia,2023,,167.32,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2014,,416.38,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2015,,427.94,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2016,,431,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2017,,445.32,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2018,,469.21,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2019,,468.35,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2020,,494.67,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2021,,499.19,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2022,,522.04,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DE,Germany,2023,,544.23,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2014,,652.21,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2015,,675.42,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2016,,690.37,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2017,,691.95,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2018,,723.56,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2019,,726.61,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2020,,732.16,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2021,,749.66,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2022,,768.15,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,DK,Denmark,2023,,790.45,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2014,,319.61,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2015,,318.57,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2016,,318.82,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2017,,328.58,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2018,,333.3,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2019,,335.28,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2020,,359.04,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2021,,369.82,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2022,,367.77,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA19,Euro area - 19 countries  (2015-2022),2023,,378.63,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2014,,316.16,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2015,,315.17,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2016,,315.46,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2017,,325.18,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2018,,329.96,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2019,,332,,e,estimated,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2020,,355.54,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2021,,366.27,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2022,,364.32,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EA20,Euro area – 20 countries (from 2023),2023,,375.18,,p,provisional,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2014,,27.55,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2015,,30.13,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2016,,35.55,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2017,,45.31,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2018,,46.51,,,,,
dataflow,ESTAT:SPR_EXP_TYPE$DEFAULTVIEW(1.0),Expenditure on social protection by type of expenditure,A,Annual,ADM,Administration costs,EUR_HAB,Euro per inhabitant,EE,Estonia,2019,,49.24,,,,,
